"year","country","agr_pat","dat_pat","min_pat","ene_pat","all_pat","TIDR_all","TIDR_agr","TIDR_min","TIDR_log","TIDR_nuc","TIDR_wind","TIDR_solar","TIDR_bio"
1990,"Argentina",25,7,10,4,46,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Austria",356,310,82,51,799,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Australia",853,1023,285,90,2251,-17.2332942555686,-58.9928057553957,-44.4444444444444,-14.7540983606557,-37.7777777777778,-2.24215246636771,-1.89873417721519,11.6666666666667
1990,"Belgium",21,22,4,1,48,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Bulgaria",26,4,1,30,61,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Brazil",114,106,49,42,311,-113.082039911308,-164.935064935065,-68.1818181818182,-330.434782608696,-29.7297297297297,-110.15625,17.0212765957447,-16.6666666666667
1990,"Canada",631,1277,343,75,2326,-115.243902439024,-72.4137931034483,-108.333333333333,-178.260869565217,-170,-100.564971751412,-108.8,-50
1990,"Switzerland",53,66,19,9,147,-147.919293820933,-150.42735042735,-73.5294117647059,-167.272727272727,-173.469387755102,-162.085308056872,-110.759493670886,-159.322033898305
1990,"China",103,363,64,267,797,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Germany",1597,3281,617,278,5773,-181.099397590361,-215.463917525773,-208.695652173913,-232.258064516129,-193.814432989691,-132.069970845481,-142.125984251969,-215.447154471545
1990,"Denmark",419,155,47,32,653,-155.491329479769,-223.4375,-181.25,-137.662337662338,-196.078431372549,-187.412587412587,-74.7967479674797,-98.3606557377049
1990,"Egypt",10,1,5,1,17,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Spain",105,65,23,39,232,-62.2425629290618,-70.5479452054795,-44.7368421052632,-51.980198019802,-106,-88.0597014925373,-38.4146341463415,-35.6164383561644
1990,"Finland",186,131,75,46,438,-41.7437252311757,-33.6065573770492,-54.8387096774194,-92.9936305732484,-35.1851851851852,-48.3695652173913,-12.0805369127517,23.3333333333333
1990,"France",839,943,145,79,2006,NA,NA,NA,NA,NA,NA,NA,NA
1990,"United Kingdom",808,1942,622,84,3456,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Greece",34,8,1,8,51,65.818759936407,71.304347826087,59.0909090909091,70.4545454545455,25.8064516129032,62.5954198473283,57,88.8888888888889
1990,"Hong Kong SAR China",4,84,5,2,95,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Hungary",311,57,26,54,448,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Ireland",76,57,16,7,156,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Israel",146,107,1,11,265,NA,NA,NA,NA,NA,NA,NA,NA
1990,"India",29,31,8,18,86,-9.18918918918919,-43.956043956044,-17.3913043478261,-105.882352941176,18.1818181818182,15.3409090909091,53.3980582524272,-69.2307692307692
1990,"Iceland",8,2,NA,NA,10,96.3917525773196,96.4285714285714,100,92.3913043478261,100,98.0582524271845,95.8904109589041,100
1990,"Italy",204,254,35,30,523,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Japan",649,8024,307,6728,15708,-333.618233618234,-194.495412844037,-281.481481481481,-529.850746268657,-309.803921568627,-296.296296296296,-258.741258741259,-522.448979591837
1990,"South Korea",1086,4767,47,76,5976,-40.4290429042904,13.6842105263158,-10.5263157894737,-86.6141732283465,-30.4347826086957,-34.4594594594595,-82.8571428571429,17.0212765957447
1990,"Luxembourg",5,2,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Morocco",13,NA,4,1,18,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Monaco",2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Malawi",1,NA,NA,NA,1,78.6476868327402,81.0344827586207,85.7142857142857,63.75,94.1176470588235,85.4838709677419,88.2352941176471,78.2608695652174
1990,"Mexico",28,23,37,8,96,47.9233226837061,44.8598130841121,70,38.0165289256198,50,47.5609756097561,54.3859649122807,50
1990,"Malaysia",7,11,7,NA,25,37.3737373737374,46.031746031746,50.8474576271186,53.6458333333333,20.5882352941176,18.3098591549296,30.2013422818792,52.3809523809524
1990,"Netherlands",204,213,35,8,460,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Norway",197,160,448,55,860,NA,NA,NA,NA,NA,NA,NA,NA
1990,"New Zealand",150,21,4,5,180,-2.37226277372263,-58.1632653061224,-88.2352941176471,9.32203389830508,25,21.875,40.2061855670103,-94.1176470588235
1990,"Philippines",32,13,4,3,52,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Poland",45,2,8,26,81,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Portugal",92,11,NA,5,108,36.0426700632886,28.2828282828283,61.3711272247858,38.2056612825844,43.1818181818182,31.4465408805031,28.8135593220339,48.9795918367347
1990,"Romania",1,NA,NA,31,32,9.90990990990991,26.0869565217391,66.6666666666667,-86.2068965517241,70.8333333333333,41.3793103448276,NA,-33.3333333333333
1990,"Sweden",176,157,91,26,450,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Singapore",4,82,12,1,99,-17.8294573643411,17.3333333333333,16.0714285714286,-38.0090497737557,2.29885057471264,-32.3770491803279,-30.1075268817204,-2.27272727272727
1990,"Tunisia",16,2,3,1,22,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Turkey",15,9,4,NA,28,53.6082474226804,26.7441860465116,50,50,65.3061224489796,55.3333333333333,61.3861386138614,78
1990,"United States",2044,4962,747,184,7937,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Uruguay",1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA
1990,"South Africa",119,36,39,16,210,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Zambia",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Zimbabwe",8,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Argentina",43,4,2,2,51,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Austria",367,329,81,37,814,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Australia",866,1185,309,68,2428,-30.9226932668329,-86.3247863247863,-93.9393939393939,-31.5151515151515,-23.0769230769231,-1.33928571428571,-25.4777070063694,-16.6666666666667
1991,"Belgium",25,29,2,4,60,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Bulgaria",10,4,1,12,27,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Brazil",185,189,77,54,505,-95.6947162426614,-134.567901234568,-41.3793103448276,-213.829787234043,-48.5714285714286,-140.944881889764,21.1538461538462,17.0731707317073
1991,"Canada",760,1573,454,105,2892,-106.201550387597,-67.5438596491228,-141.666666666667,-172.992700729927,-124.390243902439,-74.8571428571429,-102.542372881356,-94.4444444444444
1991,"Switzerland",52,42,14,8,116,-136.295369211514,-119.354838709677,-97.2222222222222,-148.214285714286,-162.745098039216,-167.8391959799,-103.870967741935,-119.69696969697
1991,"China",104,363,53,321,841,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Cuba",1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Germany",1512,3445,535,281,5773,-156.408450704225,-169.266055045872,-182.432432432432,-199.264705882353,-183.809523809524,-120.454545454545,-123.308270676692,-172.932330827068
1991,"Denmark",253,79,34,30,396,-150.21770682148,-201.587301587302,-232,-140,-186.538461538462,-197.872340425532,-71.2,-63.0769230769231
1991,"Dominican Republic",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Egypt",21,1,2,1,25,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Spain",117,66,23,47,253,-67.2897196261682,-81.6901408450704,-36.8421052631579,-75,-87.2727272727273,-85.8585858585859,-36.2573099415205,-41.1764705882353
1991,"Finland",195,150,58,37,440,-50.1404494382023,-43.1192660550459,-95.4545454545455,-107.09219858156,-54.9019607843137,-52.6011560693642,-31.2925170068027,39.1304347826087
1991,"France",811,945,163,74,1993,NA,NA,NA,NA,NA,NA,NA,NA
1991,"United Kingdom",764,1841,553,73,3231,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Greece",52,10,10,4,76,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Hong Kong SAR China",6,117,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Hungary",287,71,20,72,450,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Ireland",105,63,31,10,209,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Israel",158,94,1,11,264,NA,NA,NA,NA,NA,NA,NA,NA
1991,"India",10,32,18,9,69,-24.7379454926625,-97.2222222222222,-18.75,-77.6119402985075,25.6410256410256,5.81395348837209,13.9240506329114,-75
1991,"Iceland",9,NA,2,NA,11,94.7103274559194,88.7096774193548,84.6153846153846,86.9565217391304,100,100,100,100
1991,"Italy",160,268,42,16,486,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Jordan",4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Japan",576,7751,181,7126,15634,-316.083916083916,-208.490566037736,-191.176470588235,-528.461538461538,-289.090909090909,-288.359788359788,-231.543624161074,-457.692307692308
1991,"South Korea",975,4549,48,85,5657,-30.0148588410104,18.2692307692308,10.2564102564103,-94.8529411764706,-36.1702127659575,-5.58659217877095,-76.3157894736842,33.3333333333333
1991,"Luxembourg",3,5,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Morocco",18,2,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Monaco",1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Malta",1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Mexico",17,17,19,4,57,40.4545454545455,28.5714285714286,69.4444444444444,33.8129496402878,45.4545454545455,39.2045454545455,49.1071428571429,43.75
