"pub_year","country_name","patent_count","country_yearly_relative_position"
1836,"United States",7,"Low tech development"
1837,"United States",22,"Low tech development"
1838,"United States",43,"Low tech development"
1839,"United States",33,"Low tech development"
1840,"United States",35,"Low tech development"
1841,"United States",30,"Low tech development"
1842,"United States",45,"Low tech development"
1843,"United States",51,"Low tech development"
1844,"United States",44,"Low tech development"
1845,"United States",38,"Low tech development"
1846,"United States",57,"Low tech development"
1847,"United States",41,"Low tech development"
1848,"United States",58,"Low tech development"
1849,"United States",87,"Low tech development"
1850,"United States",82,"Low tech development"
1851,"United States",44,"Low tech development"
1852,"United States",79,"Low tech development"
1853,"United States",85,"Low tech development"
1854,"United States",138,"Low tech development"
1855,"United States",169,"Low tech development"
1856,"United States",257,"Low tech development"
1857,"United States",345,"Low tech development"
1858,"United States",443,"Low tech development"
1859,"United States",479,"Low tech development"
1860,"United States",577,"Low tech development"
1861,"United States",432,"Low tech development"
1862,"United States",321,"Low tech development"
1863,"United States",324,"Low tech development"
1864,"United States",476,"Low tech development"
1865,"United States",603,"Low tech development"
1866,"United States",968,"Low tech development"
1867,"United States",1403,"Low tech development"
1868,"United States",1564,"Low tech development"
1869,"United States",1626,"Low tech development"
1870,"United States",1234,"Low tech development"
1871,"United States",1124,"Low tech development"
1872,"United States",995,"Low tech development"
1873,"United States",886,"Low tech development"
1874,"United States",974,"Low tech development"
1875,"United States",964,"Low tech development"
1876,"United States",1224,"Low tech development"
1877,"United States",1178,"Low tech development"
1878,"United States",1110,"Low tech development"
1879,"United States",1007,"Low-med tech development"
1880,"United States",996,"Low-med tech development"
1881,"United States",1127,"Low-med tech development"
1882,"United States",1362,"Low-med tech development"
1883,"United States",1480,"Low-med tech development"
1884,"United States",1164,"Low-med tech development"
1885,"Sweden",3,"Low tech development"
1885,"United States",1748,"High-med tech development"
1886,"Sweden",21,"Low tech development"
1886,"United States",1650,"High-med tech development"
1887,"Sweden",22,"Low-med tech development"
1887,"United States",1441,"High-med tech development"
1888,"Sweden",24,"Low-med tech development"
1888,"United States",1203,"High-med tech development"
1889,"Switzerland",2,"Low tech development"
1889,"Sweden",34,"High-med tech development"
1889,"United States",1387,"High tech development"
1890,"Sweden",25,"Low tech development"
1890,"United States",1496,"High-med tech development"
1891,"Sweden",40,"Low-med tech development"
1891,"United States",1341,"High-med tech development"
1892,"Sweden",39,"Low-med tech development"
1892,"United States",1417,"High-med tech development"
1893,"Sweden",34,"Low-med tech development"
1893,"United States",1350,"High-med tech development"
1894,"Sweden",50,"Low-med tech development"
1894,"United States",1048,"High-med tech development"
1895,"Switzerland",1,"Low tech development"
1895,"Sweden",54,"High-med tech development"
1895,"United States",1059,"High tech development"
1896,"Sweden",55,"Low-med tech development"
1896,"United States",1010,"High-med tech development"
1897,"Switzerland",1,"Low tech development"
1897,"Sweden",46,"High-med tech development"
1897,"United States",1099,"High tech development"
1898,"Switzerland",2,"Low tech development"
1898,"Sweden",35,"High-med tech development"
1898,"United States",1114,"High tech development"
1899,"Sweden",40,"Low tech development"
1899,"United States",1230,"High-med tech development"
1900,"Austria",1,"Low tech development"
1900,"Belgium",148,"High tech development"
1900,"Switzerland",2,"Low tech development"
1900,"Italy",2,"Low-med tech development"
1900,"Luxembourg",20,"Low-med tech development"
1900,"Netherlands",126,"High-med tech development"
1900,"Norway",1,"Low tech development"
1900,"Sweden",58,"Low-med tech development"
1900,"United States",1328,"High tech development"
1901,"Austria",1,"Low tech development"
1901,"Sweden",60,"High-med tech development"
1901,"United States",1296,"High tech development"
