period,reporterDesc,totexports_fobvalue,import_count_tech_cap,export_count_tech_cap,import_count_tech_cap_china,export_count_tech_cap_china,import_count_tech_cap_usa,export_count_tech_cap_usa,most_frequent_imp_partner,most_frequent_exp_partner,Region,IDIT,IDIT_China,IDIT_USA
1988,Australia,4437923264,12691,16872,444,370,666,629,Fed. Rep. of Germany (...1990),Papua New Guinea,Australia and New Zealand,-32.94460641399417,16.666666666666664,5.555555555555555
1988,Fed. Rep. of Germany (...1990),380736142000,18611,61124,148,592,703,703,Austria,Austria,Western Europe,-228.42942345924456,-300,0
1988,Finland,17402625103,10545,16872,185,296,666,333,Sweden,Sweden,Northern Europe,-60,-60,50
1988,Greece,121416906,10767,2960,74,37,629,74,Fed. Rep. of Germany (...1990),Cyprus,Southern Europe,72.5085910652921,50,88.23529411764706
1988,Iceland,16899898,6327,407,0,0,444,0,Denmark,Denmark,Northern Europe,93.56725146198829,NA,100
1988,India,1743036404,7067,10064,74,0,592,296,Dem. Rep. of Germany (...1990),USSR (...1990),Southern Asia,-42.40837696335078,100,50
1988,Japan,508370985209,9361,47915,222,629,666,703,USA,"Other Asia, nes",Eastern Asia,-411.85770750988144,-183.33333333333331,-5.555555555555555
1988,Portugal,7500866532,11174,6015,74,0,555,36,Fed. Rep. of Germany (...1990),Spain,Southern Europe,46.16967961338822,100,93.51351351351352
1988,Rep. of Korea,13059957044,8288,13505,0,0,629,481,Fed. Rep. of Germany (...1990),"Areas, nes",Eastern Asia,-62.94642857142857,NA,23.52941176470588
1988,Switzerland,25374209835,11729,28675,148,259,629,555,Fed. Rep. of Germany (...1990),France,Western Europe,-144.4794952681388,-75,11.76470588235294
1988,Thailand,0,9361,0,444,0,666,0,USA,NA,South-Eastern Asia,100,100,100
1989,Australia,5333633435,13246,17427,444,296,666,592,Fed. Rep. of Germany (...1990),New Zealand,Australia and New Zealand,-31.564245810055862,33.33333333333333,11.11111111111111
1989,Bangladesh,634846,4070,74,370,0,222,0,Japan,Nepal,Southern Asia,98.18181818181819,100,100
1989,Brazil,44868774793,5661,21867,0,148,666,518,USA,Chile,South America,-286.27450980392155,NA,22.22222222222222
1989,Canada,277755543016,11100,25308,222,333,703,703,Fed. Rep. of Germany (...1990),USA,Northern America,-128,-50,0
1989,Cyprus,728184013,7030,2035,148,0,481,74,Italy,Egypt,Western Asia,71.05263157894737,100,84.61538461538461
1989,Denmark,22136435739,12099,31635,74,296,592,555,United Kingdom,Norway,Northern Europe,-161.4678899082569,-300,6.25
1989,Fed. Rep. of Germany (...1990),414343466664,18574,60717,259,629,703,703,Austria,Austria,Western Europe,-226.8924302788845,-142.85714285714286,0
1989,Finland,19745676965,11507,18093,222,185,555,592,Fed. Rep. of Germany (...1990),Sweden,Northern Europe,-57.234726688102896,16.666666666666664,-6.666666666666667
1989,Greece,158724154,11137,3367,185,0,629,37,Fed. Rep. of Germany (...1990),Cyprus,Southern Europe,69.76744186046511,100,94.11764705882352
1989,Iceland,1842970,6068,148,0,0,518,0,Dem. Rep. of Germany (...1990),"Areas, nes",Northern Europe,97.5609756097561,NA,100
1989,India,1948297123,6956,10730,37,0,629,333,Dem. Rep. of Germany (...1990),Bangladesh,Southern Asia,-54.25531914893617,100,47.05882352941176
1989,Indonesia,72594000,11137,999,555,0,666,111,Fed. Rep. of Germany (...1990),Singapore,South-Eastern Asia,91.0299003322259,100,83.33333333333334
1989,Japan,498223257317,9509,47212,185,666,666,703,USA,Rep. of Korea,Eastern Asia,-396.49805447470817,-260,-5.555555555555555
1989,Malaysia,1086672721,12062,7030,481,37,629,259,Fed. Rep. of Germany (...1990),Singapore,South-Eastern Asia,41.717791411042946,92.3076923076923,58.82352941176471
1989,New Zealand,2287406378,8103,11063,148,37,592,370,Australia,Australia,Australia and New Zealand,-36.5296803652968,75,37.5
1989,Oman,356314218,4958,1554,74,0,333,0,United Kingdom,United Arab Emirates,Western Asia,68.65671641791045,100,100
1989,Paraguay,226662,4107,74,0,0,444,0,Brazil,Chile,South America,98.1981981981982,NA,100
1989,Portugal,9504218290,10582,6673,111,0,555,0,Fed. Rep. of Germany (...1990),Spain,Southern Europe,36.94008694008694,100,100
1989,Rep. of Korea,15563209101,8547,13320,259,259,703,481,Japan,Japan,Eastern Asia,-55.84415584415584,0,31.57894736842105
1989,Romania,10856614000,1591,3441,0,74,37,74,Fed. Rep. of Germany (...1990),USSR (...1990),Eastern Europe,-116.27906976744187,NA,-100
1989,Singapore,8112733627,14689,16909,481,333,666,555,Australia,Malaysia,South-Eastern Asia,-15.113350125944585,30.76923076923077,16.666666666666664
1989,Spain,38683805065,13616,21978,148,148,629,407,Fed. Rep. of Germany (...1990),France,Southern Europe,-61.41304347826087,0,35.294117647058826
1989,Switzerland,22503282340,11248,28009,74,296,703,518,Fed. Rep. of Germany (...1990),Austria,Western Europe,-149.01315789473685,-300,26.31578947368421
1989,Thailand,542278660,9879,5920,444,74,592,185,Japan,Singapore,South-Eastern Asia,40.074906367041194,83.33333333333334,68.75
1989,Türkiye,1383597869,8029,4921,0,0,629,37,Fed. Rep. of Germany (...1990),Cyprus,Western Asia,38.70967741935484,NA,94.11764705882352
1990,Australia,5357569919,13579,18352,407,259,703,592,United Kingdom,New Zealand,Australia and New Zealand,-35.14986376021799,36.36363636363637,15.789473684210526
1990,Bangladesh,6108219,4551,37,518,0,185,0,China,Singapore,Southern Asia,99.1869918699187,100,100
1990,Brazil,28538377463,6216,19906,0,111,666,518,USA,Uruguay,South America,-220.23809523809524,NA,22.22222222222222
1990,Canada,279391376175,10286,23458,222,333,703,703,USA,USA,Northern America,-128.05755395683454,-50,0
1990,Chile,74017094,10952,1665,259,37,666,111,Fed. Rep. of Germany (...1990),Bolivia (Plurinational State of),South America,84.7972972972973,85.71428571428571,83.33333333333334
1990,Cyprus,674497198,7215,2516,37,0,481,0,United Kingdom,"Areas, nes",Western Asia,65.12820512820512,100,100
1990,Denmark,31399861781,11618,32190,111,259,518,481,Fed. Rep. of Germany (...1990),Fed. Rep. of Germany (...1990),Northern Europe,-177.07006369426753,-133.33333333333331,7.142857142857142
1990,Fed. Rep. of Germany (...1990),460041570039,18907,61013,333,629,666,703,Austria,Austria,Western Europe,-222.70058708414874,-88.88888888888889,-5.555555555555555
1990,Finland,26049095274,11470,19018,185,259,629,444,Sweden,Sweden,Northern Europe,-65.80645161290323,-40,29.411764705882355
1990,Greece,173436982,11581,3478,148,0,629,111,Fed. Rep. of Germany (...1990),Italy,Southern Europe,69.96805111821087,100,82.35294117647058
1990,Iceland,12198123,5846,333,0,0,518,37,United Kingdom,Norway,Northern Europe,94.30379746835443,NA,92.85714285714286
1990,India,1628926517,6734,11026,0,0,629,407,USA,United Arab Emirates,Southern Asia,-63.73626373626373,NA,35.294117647058826
1990,Indonesia,88590358,11433,1221,481,0,666,74,Fed. Rep. of Germany (...1990),Singapore,South-Eastern Asia,89.32038834951457,100,88.88888888888889
