"pub_year","country_name","patent_count","country_yearly_relative_position"
1837,"United States",1,"Low tech development"
1839,"United States",1,"Low tech development"
1840,"United States",3,"Low tech development"
1841,"United States",3,"Low tech development"
1842,"United States",1,"Low tech development"
1843,"United States",1,"Low tech development"
1845,"United States",2,"Low tech development"
1846,"United States",5,"Low tech development"
1847,"United States",2,"Low tech development"
1848,"United States",1,"Low tech development"
1849,"United States",4,"Low tech development"
1850,"United States",5,"Low tech development"
1851,"United States",8,"Low tech development"
1852,"United States",9,"Low tech development"
1853,"United States",5,"Low tech development"
1854,"United States",4,"Low tech development"
1855,"United States",10,"Low tech development"
1856,"United States",12,"Low tech development"
1857,"United States",16,"Low tech development"
1858,"United States",22,"Low tech development"
1859,"United States",42,"Low tech development"
1860,"United States",25,"Low tech development"
1861,"United States",17,"Low tech development"
1862,"United States",30,"Low tech development"
1863,"United States",35,"Low tech development"
1864,"United States",34,"Low tech development"
1865,"United States",26,"Low tech development"
1866,"United States",54,"Low tech development"
1867,"United States",90,"Low tech development"
1868,"United States",68,"Low tech development"
1869,"United States",85,"Low tech development"
1870,"United States",76,"Low tech development"
1871,"United States",81,"Low tech development"
1872,"United States",60,"Low tech development"
1873,"United States",61,"Low tech development"
1874,"United States",94,"Low tech development"
1875,"United States",97,"Low tech development"
1876,"United States",102,"Low tech development"
1877,"United States",100,"Low tech development"
1878,"United States",94,"Low tech development"
1879,"United States",87,"Low-med tech development"
1880,"United States",94,"Low tech development"
1881,"United States",95,"Low-med tech development"
1882,"United States",115,"Low tech development"
1883,"United States",151,"Low-med tech development"
1884,"United States",119,"Low-med tech development"
1885,"United States",183,"Low-med tech development"
1886,"United States",190,"Low-med tech development"
1887,"United States",189,"Low-med tech development"
1888,"United States",220,"Low-med tech development"
1889,"United States",234,"Low-med tech development"
1890,"United States",274,"Low-med tech development"
1891,"Switzerland",1,"Low tech development"
1891,"United States",266,"High-med tech development"
1892,"United States",267,"Low-med tech development"
1893,"Switzerland",1,"Low tech development"
1893,"United States",259,"High-med tech development"
1894,"United States",237,"Low-med tech development"
1895,"United States",208,"Low tech development"
1896,"United States",248,"Low-med tech development"
1897,"United States",229,"Low-med tech development"
1898,"Switzerland",1,"Low tech development"
1898,"United States",193,"High-med tech development"
1899,"United States",239,"Low-med tech development"
1900,"Belgium",75,"Low-med tech development"
1900,"India",1,"Low tech development"
1900,"Italy",12,"Low-med tech development"
1900,"Netherlands",215,"High-med tech development"
1900,"Sweden",3,"Low tech development"
1900,"United States",239,"High tech development"
1901,"Austria",1,"Low tech development"
1901,"United States",249,"High-med tech development"
1902,"United States",277,"Low-med tech development"
1903,"Austria",2,"Low tech development"
1903,"United States",325,"High-med tech development"
1904,"United States",391,"Low-med tech development"
1905,"United States",310,"Low-med tech development"
1906,"Finland",1,"Low tech development"
1906,"United States",322,"High-med tech development"
1907,"Sweden",1,"Low tech development"
1907,"United States",410,"High-med tech development"
1908,"Switzerland",2,"Low tech development"
1908,"United States",432,"High-med tech development"
1909,"Switzerland",1,"Low tech development"
1909,"United States",429,"High-med tech development"
1910,"Austria",1,"Low tech development"
1910,"Switzerland",1,"Low-med tech development"
1910,"United States",405,"High tech development"
1911,"United States",421,"Low-med tech development"
1912,"Switzerland",1,"Low tech development"
1912,"United States",451,"High-med tech development"
1913,"Australia",1,"Low tech development"
1913,"Netherlands",1,"Low-med tech development"
1913,"United States",437,"High tech development"
1914,"Austria",2,"Low tech development"
1914,"Australia",2,"Low-med tech development"
1914,"Switzerland",2,"Low-med tech development"
1914,"Netherlands",3,"High-med tech development"
1914,"Sweden",1,"Low tech development"
1914,"United States",532,"High tech development"
1915,"Austria",3,"Low tech development"
1915,"Switzerland",1,"Low tech development"
1915,"Netherlands",10,"Low-med tech development"
1915,"United States",577,"High tech development"
1916,"Austria",1,"Low tech development"
1916,"Australia",1,"Low tech development"
1916,"Denmark",1,"Low-med tech development"
1916,"Netherlands",10,"Low-med tech development"
1916,"United States",640,"High tech development"
1917,"Finland",1,"Low tech development"
1917,"United States",603,"High-med tech development"
1918,"Austria",1,"Low tech development"
1918,"United States",534,"High-med tech development"
1919,"Finland",1,"Low tech development"
1919,"United States",522,"High-med tech development"
1920,"Switzerland",33,"Low tech development"
1920,"United States",409,"Low-med tech development"
1921,"Austria",1,"Low tech development"
1921,"Switzerland",47,"Low-med tech development"
1921,"Denmark",1,"Low tech development"
1921,"United States",541,"High-med tech development"
1922,"Austria",4,"Low tech development"
1922,"Switzerland",43,"Low-med tech development"
1922,"Denmark",1,"Low tech development"
1922,"United States",644,"High-med tech development"
1923,"Austria",2,"Low tech development"
1923,"Switzerland",85,"Low-med tech development"
1923,"Netherlands",1,"Low tech development"
1923,"United States",558,"High-med tech development"
1924,"Austria",1,"Low tech development"
1924,"Switzerland",50,"Low-med tech development"
1924,"Denmark",2,"Low tech development"
1924,"United States",586,"High-med tech development"
1925,"Austria",4,"Low tech development"
1925,"Switzerland",58,"Low-med tech development"
1925,"Denmark",4,"Low-med tech development"
1925,"Netherlands",2,"Low tech development"
1925,"United States",543,"High-med tech development"
1926,"Austria",2,"Low tech development"
1926,"Belgium",3,"Low-med tech development"
1926,"Switzerland",37,"High-med tech development"
1926,"Denmark",1,"Low tech development"
1926,"Netherlands",2,"Low-med tech development"
1926,"United States",548,"High-med tech development"
1927,"Austria",2,"Low tech development"
1927,"Belgium",2,"Low tech development"
1927,"Switzerland",45,"Low-med tech development"
1927,"United States",471,"High-med tech development"
1928,"Austria",1,"Low tech development"
1928,"Belgium",7,"Low-med tech development"
1928,"Switzerland",56,"Low-med tech development"
1928,"Netherlands",1,"Low tech development"
1928,"United States",441,"High-med tech development"
1929,"Belgium",10,"Low tech development"
1929,"Switzerland",67,"Low-med tech development"
1929,"Netherlands",3,"Low tech development"
1929,"United States",505,"High-med tech development"
1930,"Belgium",7,"Low tech development"
1930,"Switzerland",70,"Low-med tech development"
1930,"Spain",7,"Low tech development"
1930,"United States",591,"High-med tech development"
1931,"Austria",11,"Low-med tech development"
1931,"Belgium",7,"Low tech development"
1931,"Switzerland",68,"Low-med tech development"
1931,"Denmark",3,"Low tech development"
1931,"United States",759,"High-med tech development"
1932,"Austria",15,"Low-med tech development"
1932,"Switzerland",71,"High-med tech development"
1932,"Denmark",1,"Low tech development"
1932,"Spain",1,"Low tech development"
1932,"Netherlands",1,"Low-med tech development"
1932,"United States",886,"High-med tech development"
1933,"Austria",8,"High-med tech development"
1933,"Belgium",5,"Low-med tech development"
1933,"Canada",1,"Low tech development"
1933,"Switzerland",56,"High-med tech development"
1933,"Denmark",1,"Low tech development"
1933,"Netherlands",3,"Low-med tech development"
1933,"United States",799,"High tech development"
1934,"Austria",2,"Low-med tech development"
1934,"Belgium",7,"High-med tech development"
1934,"Switzerland",60,"High-med tech development"
1934,"Denmark",1,"Low tech development"
1934,"Spain",1,"Low tech development"
1934,"Netherlands",1,"Low-med tech development"
1934,"United States",770,"High tech development"
1935,"Austria",7,"Low-med tech development"
1935,"Belgium",1,"Low tech development"
1935,"Switzerland",52,"High-med tech development"
1935,"Spain",1,"Low tech development"
1935,"Netherlands",1,"Low-med tech development"
1935,"United States",698,"High-med tech development"
1936,"Austria",6,"Low-med tech development"
1936,"Australia",1,"Low tech development"
1936,"Belgium",6,"High-med tech development"
1936,"Switzerland",47,"High-med tech development"
1936,"Denmark",2,"Low tech development"
1936,"Spain",2,"Low tech development"
1936,"Netherlands",2,"Low-med tech development"
1936,"United States",757,"High tech development"
1937,"Austria",8,"High-med tech development"
1937,"Belgium",3,"Low-med tech development"
1937,"Switzerland",49,"High-med tech development"
1937,"Denmark",2,"Low tech development"
1937,"Netherlands",5,"Low-med tech development"
1937,"Sweden",1,"Low tech development"
1937,"United States",693,"High tech development"
1938,"Austria",3,"Low-med tech development"
1938,"Belgium",7,"Low-med tech development"
1938,"Switzerland",59,"High-med tech development"
1938,"Netherlands",2,"Low tech development"
1938,"Sweden",2,"Low tech development"
1938,"United States",656,"High-med tech development"
1939,"Austria",1,"Low tech development"
1939,"Belgium",2,"Low-med tech development"
1939,"Switzerland",100,"High-med tech development"
1939,"Netherlands",1,"Low tech development"
