period,reporterDesc,id,flowDesc,partnerDesc,cmdCode,cmdDesc,fobvalue,Category
1988,Australia,52481026,Export,Spain,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers",19633,Agriculture
1988,Australia,52481074,Export,Dem. People's Rep. of Korea,8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",6127,Agriculture
1988,Australia,99513487,Export,Philippines,8704,Vehicles; for the transport of goods,78175,Logistics
1988,Fed. Rep. of Germany (...1990),97856570,Export,Dem. Yemen (...1990),9015,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses, rangefinders",3000,Logistics
1988,Fed. Rep. of Germany (...1990),46179119,Import,Belgium-Luxembourg (...1998),847410,"Machines; for sorting, screening, separating or washing earth, stone, ores or other mineral substances",NA,Mining
1988,Fed. Rep. of Germany (...1990),49226756,Import,USA,8427,Fork-lift and other works trucks; fitted with lifting or handling equipment,NA,Logistics
1988,Fed. Rep. of Germany (...1990),50409920,Export,Norway,8433,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",8976000,Agriculture
1988,Fed. Rep. of Germany (...1990),97145233,Export,Uganda,8709,"Works trucks, self-propelled, (not fitted with lifting or handling equipment), for factories, warehouses etc, for short distance transport of goods, tractors used on railway station platforms; parts thereof",35000,Logistics
1988,Fed. Rep. of Germany (...1990),53710972,Export,US Misc. Pacific Isds,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",231000,Logistics
1988,Fed. Rep. of Germany (...1990),52430101,Export,Albania,8436,"Agricultural, horticultural, forestry, poultry-keeping, bee-keeping machinery; including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders",4000,Agriculture
1988,Fed. Rep. of Germany (...1990),98663759,Export,Greece,8701,Tractors; (other than tractors of heading no 8709),11599000,Logistics
1988,Finland,53790484,Export,Angola,8428,"Lifting, handling, loading or unloading machinery (eg lifts, escalators, conveyors, teleferics)",11890,Logistics
