pub_year,country_code,cpc_broad_class,patent_count
1836,US,Agriculture related,7
1837,US,Agriculture related,22
1837,US,Data process related,1
1837,US,Mining related,1
1838,US,Agriculture related,43
1838,US,Mining related,2
1839,US,Agriculture related,33
1839,US,Data process related,1
1839,US,Mining related,4
1840,US,Agriculture related,35
1840,US,Data process related,3
1840,US,Mining related,2
1841,US,Agriculture related,30
1841,US,Data process related,3
1841,US,Mining related,3
1842,US,Agriculture related,45
1842,US,Data process related,1
1842,US,Mining related,2
1843,US,Agriculture related,51
1843,US,Data process related,1
1843,US,Mining related,2
1844,US,Agriculture related,44
1845,US,Agriculture related,38
1845,US,Data process related,2
1845,US,Mining related,2
1846,US,Agriculture related,57
1846,US,Data process related,5
1846,US,Mining related,1
1847,US,Agriculture related,41
1847,US,Data process related,2
1847,US,Mining related,1
1848,US,Agriculture related,58
1848,US,Data process related,1
1848,US,Mining related,2
1849,US,Agriculture related,87
1849,US,Data process related,4
1849,US,Mining related,5
1850,US,Agriculture related,82
1850,US,Data process related,5
1850,US,Mining related,1
1851,US,Agriculture related,44
1851,US,Data process related,8
1851,US,Mining related,1
1852,US,Agriculture related,79
1852,US,Data process related,9
1852,US,Mining related,3
1853,US,Agriculture related,85
1853,US,Data process related,5
1853,US,Mining related,2
1854,US,Agriculture related,138
1854,US,Data process related,4
1854,US,Mining related,5
1855,US,Agriculture related,169
1855,US,Data process related,10
1855,US,Mining related,6
1856,US,Agriculture related,257
1856,US,Data process related,12
1856,US,Mining related,8
1857,US,Agriculture related,345
1857,US,Data process related,16
1857,US,Mining related,8
1858,US,Agriculture related,443
1858,US,Data process related,22
1858,US,Mining related,9
1859,US,Agriculture related,479
1859,US,Data process related,42
1859,US,Mining related,12
1860,US,Agriculture related,577
1860,US,Data process related,25
1860,US,Mining related,12
1861,US,Agriculture related,432
1861,US,Data process related,17
1861,US,Mining related,4
1862,US,Agriculture related,321
1862,US,Data process related,30
1862,US,Mining related,4
1863,US,Agriculture related,324
1863,US,Data process related,35
1863,US,Mining related,5
1864,US,Agriculture related,476
1864,US,Data process related,34
1864,US,Mining related,15
1865,US,Agriculture related,603
1865,US,Data process related,26
1865,US,Mining related,123
1866,US,Agriculture related,968
1866,US,Data process related,54
1866,US,Mining related,120
1867,US,Agriculture related,1403
1867,US,Data process related,90
1867,US,Mining related,78
1868,US,Agriculture related,1564
1868,US,Data process related,68
1868,US,Mining related,79
1869,US,Agriculture related,1626
1869,US,Data process related,85
1869,US,Mining related,67
1870,US,Agriculture related,1234
1870,US,Data process related,76
1870,US,Mining related,59
1871,US,Agriculture related,1124
1871,US,Data process related,81
1871,US,Mining related,47
1872,US,Agriculture related,995
1872,US,Data process related,60
1872,US,Mining related,61
1873,US,Agriculture related,886
1873,US,Data process related,61
1873,US,Mining related,81
1874,US,Agriculture related,974
1874,US,Data process related,94
1874,US,Mining related,71
1875,US,Agriculture related,964
1875,US,Data process related,97
1875,US,Mining related,84
1876,US,Agriculture related,1224
1876,US,Data process related,102
1876,US,Mining related,99
1877,US,Agriculture related,1178
1877,US,Data process related,100
1877,US,Mining related,83
1878,US,Agriculture related,1110
1878,US,Data process related,94
1878,US,Mining related,71
1879,DE,Agriculture related,43
1879,DE,Data process related,2
1879,DE,Mining related,1
1879,US,Agriculture related,1007
1879,US,Data process related,87
1879,US,Mining related,58
1880,DE,Agriculture related,36
1880,US,Agriculture related,996
1880,US,Data process related,94
1880,US,Mining related,72
1881,DE,Agriculture related,24
1881,DE,Data process related,2
1881,US,Agriculture related,1127
1881,US,Data process related,95
1881,US,Mining related,74
1882,DE,Agriculture related,24
1882,US,Agriculture related,1362
1882,US,Data process related,115
1882,US,Mining related,84
1883,DE,Agriculture related,12
1883,DE,Data process related,2
1883,US,Agriculture related,1480
1883,US,Data process related,151
1883,US,Mining related,90
1884,DE,Agriculture related,25
1884,DE,Data process related,4
1884,US,Agriculture related,1164
1884,US,Data process related,119
1884,US,Mining related,97
1885,DE,Agriculture related,20
1885,DE,Data process related,1
1885,SE,Agriculture related,3
1885,US,Agriculture related,1748
1885,US,Data process related,183
1885,US,Mining related,97
1886,DE,Agriculture related,27
1886,DE,Data process related,2
1886,SE,Agriculture related,21
1886,US,Agriculture related,1650
1886,US,Data process related,190
1886,US,Mining related,103
1887,DE,Agriculture related,13
1887,DE,Data process related,2
1887,SE,Agriculture related,22
1887,SE,Mining related,1
1887,US,Agriculture related,1441
1887,US,Data process related,189
1887,US,Mining related,91
1888,DE,Agriculture related,22
1888,DE,Data process related,1
1888,SE,Agriculture related,24
1888,US,Agriculture related,1203
1888,US,Data process related,220
1888,US,Mining related,71
1889,CH,Agriculture related,2
1889,DE,Agriculture related,32
1889,DE,Data process related,2
1889,SE,Agriculture related,34
1889,SE,Mining related,1
1889,US,Agriculture related,1387
1889,US,Data process related,234
1889,US,Mining related,98
1890,DE,Agriculture related,44
1890,DE,Data process related,1
1890,SE,Agriculture related,25
1890,US,Agriculture related,1496
1890,US,Data process related,274
1890,US,Mining related,110
1891,CH,Data process related,1
1891,DE,Agriculture related,29
1891,DE,Data process related,3
1891,DE,Mining related,1
1891,SE,Agriculture related,40
1891,US,Agriculture related,1341
1891,US,Data process related,266
1891,US,Mining related,115
1892,DE,Agriculture related,32
1892,DE,Data process related,2
1892,DE,Mining related,2
1892,SE,Agriculture related,39
1892,US,Agriculture related,1417
1892,US,Data process related,267
1892,US,Mining related,126
1893,CH,Data process related,1
1893,DE,Agriculture related,28
1893,DE,Data process related,2
1893,SE,Agriculture related,34
1893,US,Agriculture related,1350
1893,US,Data process related,259
1893,US,Mining related,101
1894,DE,Agriculture related,29
1894,DE,Data process related,1
1894,GB,Agriculture related,3
1894,GB,Data process related,1
1894,GB,Mining related,1
1894,SE,Agriculture related,50
1894,US,Agriculture related,1048
1894,US,Data process related,237
1894,US,Mining related,78
1895,CH,Agriculture related,1
1895,DE,Agriculture related,33
1895,GB,Agriculture related,4
1895,SE,Agriculture related,54
1895,US,Agriculture related,1059
1895,US,Data process related,208
1895,US,Mining related,118
1896,DE,Agriculture related,26
1896,DE,Data process related,3
1896,GB,Agriculture related,2
1896,SE,Agriculture related,55
1896,US,Agriculture related,1010
1896,US,Data process related,248
1896,US,Mining related,114
1897,CH,Agriculture related,1
1897,DE,Agriculture related,33
1897,DE,Data process related,5
1897,GB,Agriculture related,7
1897,SE,Agriculture related,46
1897,SE,Mining related,1
1897,US,Agriculture related,1099
1897,US,Data process related,229
1897,US,Mining related,82
1898,CH,Agriculture related,2
1898,CH,Data process related,1
1898,DE,Agriculture related,29
1898,DE,Data process related,2
1898,GB,Agriculture related,4
1898,SE,Agriculture related,35
1898,SE,Mining related,1
1898,US,Agriculture related,1114
1898,US,Data process related,193
1898,US,Mining related,81
1899,DE,Agriculture related,45
1899,DE,Data process related,6
1899,GB,Agriculture related,7
1899,GB,Mining related,1
1899,SE,Agriculture related,40
1899,US,Agriculture related,1230
1899,US,Data process related,239
1899,US,Mining related,80
1900,AT,Agriculture related,1
1900,BE,Agriculture related,148
1900,BE,Data process related,75
1900,BE,Mining related,10
1900,CH,Agriculture related,2
1900,DE,Agriculture related,100
1900,DE,Data process related,35
1900,DE,Mining related,25
1900,FR,Agriculture related,16
1900,FR,Data process related,7
1900,FR,Mining related,6
1900,GB,Agriculture related,25
1900,GB,Data process related,74
